season,week,tm_id,tm,tm_score,opp_score,opp_id,opp,result,win_loss,season_type
2020,10,7,Conor,112.44,105.42,12,Randal,1,W,Regular
2020,10,7,Conor,112.44,105.42,12,Randal,1,W,Regular
2020,10,12,Randal,105.42,112.44,7,Conor,0,L,Regular
2020,10,12,Randal,105.42,112.44,7,Conor,0,L,Regular
2020,10,9,Naad,81.06,109.1,4,JP,0,L,Regular
2020,10,9,Naad,81.06,109.1,4,JP,0,L,Regular
2020,10,8,Hosta,115.26,147.7,1,Tom,0,L,Regular
2020,10,8,Hosta,115.26,147.7,1,Tom,0,L,Regular
2020,10,5,Patrick,111.02,108.92,6,Aviel,1,W,Regular
2020,10,5,Patrick,111.02,108.92,6,Aviel,1,W,Regular
2020,10,11,Logan,84.32,150.74,10,Zac,0,L,Regular
2020,10,11,Logan,84.32,150.74,10,Zac,0,L,Regular
2020,10,3,Tommy,129.34,85.78,2,Montel,1,W,Regular
2020,10,3,Tommy,129.34,85.78,2,Montel,1,W,Regular
2020,10,10,Zac,150.74,84.32,11,Logan,1,W,Regular
2020,10,10,Zac,150.74,84.32,11,Logan,1,W,Regular
2020,11,4,JP,134.44,110.2,11,Logan,1,W,Regular
2020,11,4,JP,134.44,110.2,11,Logan,1,W,Regular
2020,11,6,Aviel,134.16,149.96,1,Tom,0,L,Regular
2020,11,6,Aviel,134.16,149.96,1,Tom,0,L,Regular
2020,11,2,Montel,85.48,121.22,7,Conor,0,L,Regular
2020,11,2,Montel,85.48,121.22,7,Conor,0,L,Regular
2020,11,1,Tom,149.96,134.16,6,Aviel,1,W,Regular
2020,11,1,Tom,149.96,134.16,6,Aviel,1,W,Regular
2020,11,7,Conor,121.22,85.48,2,Montel,1,W,Regular
2020,11,7,Conor,121.22,85.48,2,Montel,1,W,Regular
2020,11,12,Randal,151.78,130.86,3,Tommy,1,W,Regular
2020,11,12,Randal,151.78,130.86,3,Tommy,1,W,Regular
2020,11,9,Naad,119.54,146.18,10,Zac,0,L,Regular
2020,11,9,Naad,119.54,146.18,10,Zac,0,L,Regular
2020,11,8,Hosta,133.68,149.12,5,Patrick,0,L,Regular
2020,11,8,Hosta,133.68,149.12,5,Patrick,0,L,Regular
2020,11,5,Patrick,149.12,133.68,8,Hosta,1,W,Regular
2020,11,5,Patrick,149.12,133.68,8,Hosta,1,W,Regular
2020,11,11,Logan,110.2,134.44,4,JP,0,L,Regular
2020,11,11,Logan,110.2,134.44,4,JP,0,L,Regular
2020,11,3,Tommy,130.86,151.78,12,Randal,0,L,Regular
2020,11,3,Tommy,130.86,151.78,12,Randal,0,L,Regular
2020,11,10,Zac,146.18,119.54,9,Naad,1,W,Regular
2020,11,10,Zac,146.18,119.54,9,Naad,1,W,Regular
2020,12,4,JP,101.74,159.2,1,Tom,0,L,Regular
2020,12,4,JP,101.74,159.2,1,Tom,0,L,Regular
2020,12,6,Aviel,172.92,108.46,5,Patrick,1,W,Regular
2020,12,6,Aviel,172.92,108.46,5,Patrick,1,W,Regular
